building_a,building_b,original_edge_gap_m,new_edge_gap_m,gap_ratio
building_074,building_103,34.4379049421,111.2176770651,3.2295134461
building_074,building_106,16.0127598998,72.314204169,4.5160362499
building_074,building_110,2.5030209793,32.4563412744,12.9668674545
building_074,building_170,11.8856634003,55.0044355084,4.6277968386
building_074,building_171,12.3390040319,63.267603259,5.1274481389
building_074,building_183,22.0183047724,85.7047401103,3.8924313655
building_074,building_212,27.3138540496,95.8451071088,3.509029042
building_074,building_256,1.4201697675,34.7124051349,24.4424335248
building_076,building_087,32.9033235953,110.5398179732,3.3595335028
building_076,building_141,21.7764422724,69.9856554417,3.2138241209
building_076,building_142,0.7101203175,16.6754447866,23.4825625675
building_076,building_143,1.6569193567,18.8747250175,11.3914566458
building_076,building_150,34.230208831,110.6757393626,3.2332767793
building_076,building_176,12.0717000414,44.8756552802,3.717426305
building_076,building_179,12.0665606415,44.8303365761,3.7152539077
building_076,building_211,31.2585368848,108.5247474679,3.4718434797
building_076,building_218,9.7436721996,52.1256360852,5.3496910628
building_078,building_095,22.3453737566,84.8600413061,3.7976559368
building_078,building_124,15.1786396393,64.4678437567,4.247274149
building_078,building_195,24.2179044894,98.7788840147,4.0787543802
building_078,building_266,15.5681355354,69.9571551381,4.4936116453
building_082,building_090,2.9164449225,33.5417771331,11.5009122493
building_082,building_120,11.2776029841,54.5690359074,4.8387087207
building_082,building_153,30.2819174398,103.7856928758,3.4273157597
building_082,building_175,25.3190102512,90.8817300406,3.5894661418
building_082,building_184,25.6680618306,97.8964751567,3.8139410682
building_082,building_211,25.165168787,101.4851782083,4.032763661
building_083,building_119,1.9017000026,31.895767501,16.7722392895
building_083,building_124,27.2869083734,100.6149512515,3.6872975815
building_083,building_174,31.7472672827,110.5737770651,3.4829384237
building_083,building_274,20.8905649426,86.7882476364,4.1544231989
building_084,building_178,22.8155886483,85.5487383806,3.7495740171
building_084,building_274,31.5942327699,111.6166662963,3.532817749
building_086,building_220,25.3045510061,92.1629848156,3.6421505678
building_086,building_238,5.5939924678,43.8986200811,7.8474578458
building_087,building_090,24.0085905564,88.3942592171,3.6817762796
building_087,building_141,8.0959116658,53.3465249953,6.5893165832
building_087,building_142,23.3116237397,88.9700071789,3.8165512695
building_087,building_175,4.0410857279,33.1299628074,8.1982825997
building_087,building_176,13.1474430887,66.5878658336,5.0647008232
building_087,building_211,12.1091071215,65.576431148,5.4154637902
building_087,building_218,13.2553000451,68.7190241295,5.184267719
building_087,building_227,34.9431940693,113.6099984966,3.2512768659
building_088,building_144,2.1770853893,39.0109726025,17.918898723
building_088,building_186,22.3243425343,85.5980707887,3.8342930215
building_088,building_242,2.0863737849,31.1379274519,14.9244242224
building_089,building_221,32.090339092,99.6096295267,3.1040379237
building_089,building_224,18.5971716088,64.8713677036,3.4882383767
building_089,building_255,17.8280403698,64.2336183132,3.6029545021
building_089,building_267,32.4732553251,99.8288626817,3.074187102
building_090,building_120,15.2827650028,71.6376690333,4.6874808989
building_090,building_153,33.821020669,116.7393484412,3.4516802312
building_090,building_175,3.1135740345,40.121343291,12.8859448486
building_090,building_211,15.8589639892,66.8177245771,4.2132465035
building_090,building_218,33.4401724735,118.6814419193,3.5490678768
building_091,building_093,28.7639591679,105.3714765379,3.6633161632
building_091,building_111,31.2960191374,117.7832906798,3.763523091
building_091,building_117,14.5697945332,63.9778790081,4.3911311764
building_091,building_207,2.540142352,34.6551874276,13.6430099675
building_091,building_241,13.9488467228,58.3212838834,4.1810828553
building_091,building_245,27.1480700452,98.4196710802,3.6252916291
building_092,building_117,28.4810957444,105.7328551648,3.7123871958
building_092,building_220,1.6802663401,29.5370440005,17.5787869435
building_092,building_238,20.0180782239,77.0209868246,3.8475714783
